x1,y1,x2,y2
61,4804,61,4805
164,4874,165,4876
178,188,180,190
112,4888,114,4890
5641,4804,5641,4805
145,4888,147,4890
154,231,156,232
5725,4888,5727,4890
94,4804,94,4805
178,4888,180,4890
98,174,99,176
126,4902,128,4904
42,4818,42,4819
159,4902,161,4904
37,4748,38,4748
5739,4902,5741,4904
75,4818,76,4819
192,4902,194,4904
126,202,128,204
140,4917,142,4918
5655,4818,5656,4819
173,4916,175,4918
18,4762,19,4762
5753,4916,5755,4918
108,4818,109,4819
154,4931,156,4932
112,188,114,190
37,48,38,48
56,4832,57,4833
18,62,19,62
5598,4762,5599,4762
5598,62,5599,62
5669,4832,5670,4833
51,62,52,62
159,202,161,204
0,76,0,76
89,4832,90,4833
32,76,33,76
51,4762,52,4762
5612,76,5613,76
122,4832,123,4833
65,76,66,76
5711,174,5712,176
14,90,14,90
0,4776,0,4776
47,90,47,90
5739,202,5741,204
5627,90,5627,90
32,4776,33,4776
79,90,80,90
145,188,147,190
28,104,28,105
5612,4776,5613,4776
61,104,61,105
192,202,194,204
5641,104,5641,105
65,4776,66,4776
94,104,94,105
131,174,132,176
42,118,42,119
70,4846,71,4847
75,118,76,119
14,4790,14,4790
5655,118,5656,119
5683,4846,5684,4847
108,118,109,119
140,217,142,218
56,132,57,133
103,4846,104,4847
5669,132,5670,133
47,4790,47,4790
89,132,90,133
136,4846,137,4847
122,132,123,133
5725,188,5727,190
70,146,71,147
84,4860,85,4861
5683,146,5684,147
5627,4790,5627,4790
103,146,104,147
117,4860,118,4861
136,146,137,147
173,216,175,218
84,160,85,161
5697,4860,5698,4861
117,160,118,161
79,4790,80,4790
5697,160,5698,161
150,4860,151,4862
150,160,151,162
16778,4797,16779,4797
16888,4938,16890,4939
16820,4839,16821,4840
16872,4952,16874,4954
16797,4755,16798,4755
16851,4839,16852,4840
16809,4797,16810,4798
16882,4839,16883,4840
16842,4769,16843,4769
16912,4839,16914,4840
16839,4797,16840,4798
16773,4853,16774,4854
16814,4740,16814,4741
16804,4853,16805,4854
16870,4797,16871,4798
16835,4853,16836,4854
16734,4783,16734,4783
16865,4853,16866,4854
16731,4811,16732,4812
16896,4853,16897,4854
16828,4754,16828,4755
16926,4853,16928,4855
16762,4811,16762,4812
16788,4867,16788,4868
16764,4783,16765,4783
16818,4867,16819,4868
16792,4811,16793,4812
16849,4867,16850,4869
16783,4740,16783,4741
16879,4867,16881,4869
16823,4811,16824,4812
16910,4867,16911,4869
16795,4783,16795,4783
16940,4867,16942,4869
16853,4811,16854,4812
16802,4881,16803,4883
16750,4769,16750,4769
16832,4881,16833,4883
16884,4811,16885,4812
16863,4881,16864,4883
16825,4783,16826,4783
16893,4881,16895,4883
16745,4825,16746,4826
16924,4881,16926,4883
16767,4755,16767,4755
16954,4881,16956,4883
16776,4825,16777,4826
16816,4896,16817,4897
16856,4783,16857,4783
16846,4895,16848,4897
16806,4825,16807,4826
16877,4895,16878,4897
