rotation, pore group, number of pixels overlapping, number of meters per pixel, multiples pores overlapping
0.1, 2_3, 20, 3.33333333333e-07, 
0.1, 3_0, 9, 3.33333333333e-07, 
0.1, 3_1, 10, 3.33333333333e-07, 
0.1, 3_2, 0, 3.33333333333e-07, 
0.1, 3_3, 0, 3.33333333333e-07, 
0.2, 0_0, 16, 3.33333333333e-07, 
0.2, 0_1, 0, 3.33333333333e-07, 
0.2, 0_2, 0, 3.33333333333e-07, 
0.2, 0_3, 0, 3.33333333333e-07, 
0.2, 1_0, 0, 3.33333333333e-07, 
0.2, 1_1, 0, 3.33333333333e-07, 
0.2, 1_2, 0, 3.33333333333e-07, 
0.2, 1_3, 12, 3.33333333333e-07, 
0.2, 2_0, 16, 3.33333333333e-07, 
0.2, 2_1, 0, 3.33333333333e-07, 
0.2, 2_2, 12, 3.33333333333e-07, 
0.2, 2_3, 10, 3.33333333333e-07, 
0.2, 3_0, 0, 3.33333333333e-07, 
0.2, 3_1, 0, 3.33333333333e-07, 
0.2, 3_2, 0, 3.33333333333e-07, 
0.2, 3_3, 0, 3.33333333333e-07, 
0.3, 0_0, 0, 3.33333333333e-07, 
0.3, 0_1, 0, 3.33333333333e-07, 
0.3, 0_2, 0, 3.33333333333e-07, 
0.3, 0_3, 0, 3.33333333333e-07, 
0.3, 1_0, 0, 3.33333333333e-07, 
0.3, 1_1, 0, 3.33333333333e-07, 
0.3, 1_2, 0, 3.33333333333e-07, 
0.3, 1_3, 10, 3.33333333333e-07, 
0.3, 2_0, 0, 3.33333333333e-07, 
0.3, 2_1, 0, 3.33333333333e-07, 
0.3, 2_2, 8, 3.33333333333e-07, 
0.3, 2_3, 18, 3.33333333333e-07, 
0.3, 3_0, 4, 3.33333333333e-07, 
0.3, 3_1, 0, 3.33333333333e-07, 
0.3, 3_2, 0, 3.33333333333e-07, 
0.3, 3_3, 0, 3.33333333333e-07, 
0.4, 0_0, 0, 3.33333333333e-07, 
0.4, 0_1, 0, 3.33333333333e-07, 
0.4, 0_2, 0, 3.33333333333e-07, 
0.4, 0_3, 0, 3.33333333333e-07, 
0.4, 1_0, 0, 3.33333333333e-07, 
0.4, 1_1, 0, 3.33333333333e-07, 
0.4, 1_2, 0, 3.33333333333e-07, 
0.4, 1_3, 0, 3.33333333333e-07, 
0.4, 2_0, 0, 3.33333333333e-07, 
0.4, 2_1, 0, 3.33333333333e-07, 
0.4, 2_2, 0, 3.33333333333e-07, 
0.4, 2_3, 24, 3.33333333333e-07, 
0.4, 3_0, 0, 3.33333333333e-07, 
0.4, 3_1, 8, 3.33333333333e-07, 
0.4, 3_2, 0, 3.33333333333e-07, 
0.4, 3_3, 0, 3.33333333333e-07, 
